"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-05","12.30","0.05","0.0",,"71","    1",,"    1",,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-06","9.84","0.01","0.0",,"70","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-07","8.50","0.00","0.0",,"68",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-08","10.07","0.00","0.0",,"68",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-09","9.84","0.00","0.0",,"67",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-10","10.29","0.14","0.0",,"66","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-11","11.86","0.53","0.0",,"70","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-12","11.63","0.00","0.0",,"68",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-13","11.41","0.63","0.0",,"59","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-14","14.32","0.00","0.0",,"63",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-15","15.21","0.00","0.0",,"72",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-16","7.61","0.11","0.0",,"69","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-17","8.50","0.00","0.0",,"69","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-18","5.59","0.10","0.0",,"67","    1",,,,,,"    1",
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-19","7.61","0.00","0.0",,"64","    1",,,,,,"    1",
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-20","6.71","0.37","0.0",,"66","    1","    1",,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-21","10.29","1.19","0.0",,"68","    1","    1",,,,,"    1",
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-22","12.30","0.00","0.0",,"72",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-23","12.97","0.00","0.0",,"74",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-24","10.29","0.00","0.0",,"75",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-25","6.93","0.13","0.0",,"67","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-26","6.71","0.00","0.0",,"69","    1","    1",,,,,"    1",
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-27","6.71","0.00","0.0",,"65","    1",,,,,,"    1",
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-28","6.93","0.00","0.0",,"71","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-29","6.26","1.65","0.0",,"77","    1",,"    1",,"    1",,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-06-30","10.51","0.16","0.0",,"73",,,"    1",,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-01","8.95","0.00","0.0",,"71",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-02","9.40","0.00","0.0",,"79",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-03","7.83","0.00","0.0",,"80",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-04","5.82","0.00","0.0",,"79",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-05","9.84","0.00","0.0",,"81",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-06","11.41","1.37","0.0",,"82","    1",,"    1",,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-07","10.29","0.00","0.0",,"73",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-08","7.83","0.00","0.0",,"71",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-09","8.50","0.00","0.0",,"78",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-10","7.61","0.00","0.0",,"80",,,,,,,"    1",
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-11","10.51","0.02","0.0",,"77","    1",,,,,,"    1",
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-12","5.82","0.81","0.0",,"74","    1",,"    1",,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-13","9.40","0.00","0.0",,"78",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-14","10.51","0.00","0.0",,"83",,,,,,,,
